Sno, songs,singer,lyrics,emotion
42,Nagumo,Pranav |Darshana |Kalyani |Hesham |Arvind Venugopal|Tyagaraja|Merryland,,
43,Puthiyoru Lokam,Pranav |Darshana |Kalyani |Hesham |Arvind Venugopal|Tyagaraja|Merryland,,
44,The Life of Ram,Govind Vasantha | C. Prem Kumar,,
45,Pathu Thala,Silambarasan TR | A. R Rahman | Gautham Karthik,,
46,Mudhal Nee Mudivum Nee,Darbuka Siva | Sid Sriram | Thamarai,,
47,Pehli Dafa,Atif Aslam,,
48,Tum Se Hi,Mohit Chauhan | Pritam,,
49,Mast Magan,Arijit Singh,,
50,Kabira, Pritam Chakraborty,,
51,Illahi,Pritam Chakraborty,,
52,Subhanallah,Pritam Chakraborty,,
53,Challa,A. R. Rahman,,
54,Tu Chahiye,Atif Aslam | Pritam,,
55,Yeh Tune Kya Kiya,Pritam,,
56,Bulleya,"Irshad Kamil, Papon",,
57,Jag Ghoomeya,"Rahat Fateh Ali Khan, Vishal-Shekhar",,
58,Dil Diyan,"Atif Aslam, Vishal-Shekhar",,
59,Tere Sang Yaara, Atif Aslam | Manoj M,,
60,Soch Na Sake,"Arijit Singh, Tulsi Kumar","Tenu itna main pyaar karaan
Ek pal vich sau baar karaan
Tu jaave je mainu chhad ke
Maut da intezaar karaan

Ke tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Ke tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Kuch bhi nahi hai ye jahaan
Tu hai toh hai isme zindagi

Kuch bhi nahi hai ye jahaan
Tu hai toh hai isme zindagi
Ab mujhko jaana hai kahaan
Ke tu hi safar hai aakhiri

Ke tere bina jeena mumkin nahin
Na dena kabhi mujhko tu faasley
Main tujhko kitna chahti hoon
Ye tu kabhi soch na sake

Tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Aankhon ki hai yeh khwahishein
Ki chehre se teri na hatein
Neendon mein meri bas tere
Khwabon ne li hai karwatein

Ki teri ore mujhko leke chalein
Ye duniya bhar ke sab raaste
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake

Tere liye duniya chhod di hai
Tujhpe hi saans aake ruke
Main tujhko kitna chahta hoon
Ye tu kabhi soch na sake.
",
61,Tum Jo Aaye,"Rahat Fateh Ali Khan,Tulsi Kumar, Pritam","Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein.

Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Ishq Mazhab, Ishq Meri Zaat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein.
Ho Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Sapne Teri Chahaton Ke, Sapne Teri Chahaton Ke

Dekhti Hoon Ab kayi

Din Hai Sona Aur Chaandi Raat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Chahaton Ka Mazaa, Faasalon Mein Nahin

Aa Chupa Loon Tumhein Hauslon Mein Kahin

Sab Se Upar Likha, Hai Tere Naam Ko

Khwaishon Se Jude Silsilon Mein Kahin

Khwaishein Milne Ki Tumse, Khwaishein Milne Ki Tumse

Roz Hoti Hai Nayi

Mere Dil Ki Jeet Meri Baat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Zindagi Bewafa Hai Yeh Maana Magar

Chod Kar Raah Mein Jaouge Tum Agar

Cheen Launga Main Aasman Se Tumhein

Soona Hoga Na Yeh, Do Dilon Ka Nagar

Raunke Hain Dil Ke Dar Pe, Raunke Hain Dil Ke Dar Pe

Dhadkane Hain Surmayi

Meri Kismat Bhi Tumhari, Saath Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi

Ishq Mazhab, Ishq Meri Zaat Ban Gayi

Sapne Teri Chahaton Ke, Sapne Teri Chahaton Ke

Dekhti Hoon Ab kayi

Din Hai Sona Aur Chaandi Raat Ban Gayi

Hoo Tum Jo Aaye Zindagi Mein Baat Ban Gayi.

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein

Paaya Maine, Paaya Tumhein, Rab Ne Milaya Tumhein,

Honthon Pe Sajaya Tumhein, Nag Mein Sajaya Tumhein

Paaya Maine, Paaya Tumhein, Sab Se Chupaya Tumhein,

Sapna Banaya Tumhein, Neendhon Mein Bulaya Tumhein",
62,Pee Loon,Pritam,"Pee Loon Tere Neelay Neelay Nainon Se Shabnam

Pee Loon Tere Geelay Geelay Hoto Ki Sargam

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko
Tere Sang Bekraari Hai

Tere Bin Jee Nahi Lagda, Tere Bin Jee Nahi Sakda

Tujhpe Hai Haare Maine Vaare Do Jahan, Kurbaan, Meharbaan, Ke Main Toh Kurbaan

Sun Le Zara, Tera Kurbaan

Hosh Mein Rahun Kyun Aaj Main

Tu Meri Baahon Mein Simti Hai, Mujh Mein Samayi Hai Yun

Jis Tarah Ki Koi Hum Nadi, Tu Mere Seenay Mein Chupti Hai Sagar Tumhara Main Hoon

Pee Loon Teri Dheemi Dheemi Lehron Ki Cham Cham

Pee Loon Teri Saundi Saundi Saanson Ko Har Dum

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Shaam Ko Milun Jo Main Tujhe

Toh Bura Subah Na Jaane Tu Kuch Maan Jaati Hai Yeh

Har Lamha, Har Gadi Har Pehar

Hi Teri Yaadon Se Tadpa Ke Mujhko Jalati Hai Yeh

Pee Loon Main Dheere Dheere Jalne Ka Yeh Gumm

Pee Loon Inn Gore Gore Haanthon Se Hum Dum

Pee Loon Hai Peenay Ka Mausam

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Sang Ishq Taari Hai

Tere Sang Ik Khumari Hai

Tere Sang Chain Bhi Mujhko

Tere Sang Bekraari Hai

Tere Bin Jee Nahi Lagda, Tere Bin Jee Nahi Sakda

Tujhpe Hai Haare Maine Vaare Do Jahan, Kurbaan, Meharbaan, Ke Main Toh Kurbaan

Sun Le Zara, Tera Kurbaan",
63,Teri Jhuki Nazar,"Pritam, Shafqat Amanat Ali","Chahe kuchh na kehnaa
Bhaley chup too rehnaa
Mujhe hai pataa, tere pyaar ka
Khaamosh chehra, aankhon pe pehra
Khud hai gawah, tere pyaar ka
Teri jhuki najar, teri har adaa
Mujhhe keh rahi hai yeh daastaan
Koi shakhs hai, joh ki in dino
Tere zehen-o-dil pe hai cha gayaa
Teri jhuki najar, teri har adaa
Mujhe keh rahi hai yeh dastaan
Teri zulf jab bhee bikhar jati hai
Ae haseen too haseen aur ho jati hai
Jo kitabon mein padhhte rahe aaj tak
Wo pari hamko tujhme nazar aati hai
Teri hi baaho me, panahon me
Rehna mujhe hardam sadaa
Teri hi yaado me, nigaho me
Rehna mujhe har dam sada
Teri hi baaho me, panahon me
Rehna mujhe hardam sadaa
Hardam sadaa",
64,Tu Hi Mera,"Pritam, Shafqat Amanat Ali","Tu Hi Mera ...

Tu Hi Mera Saara... Jahaan Hain

Tu Hi Mere Rabb Ki... Tarha Hain

Tu Hi Mera Saara... Jahaan Hain

Tu Hi Mere Rabb Ki... Tarha Hain

(Tarha Hain Tarha Hain Tarha Hain Tarha Hain)

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...)   (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain (x2)

Kahiin Tere Dil Ki Panaahon Me

Maine Paaya Mujhe Teri Chaahon Me

Jaise Loban Jalta Ho Har Pal Kahiin

Meri Khwaahish Me Yoon Tuu Jalaa Hain......

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...)  (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain

Bepanaah Main Tujhko Chaahta Hoon

(Tujhko Chaahta Hoon)

Tu Hi Hain Mere Dil Ka Sukoon

Tu Dikhe Hain Mujhko Chaarsoon

(Mujhko Chaarsoon)

Main Tujhe Hi Faqat Dhoondta Hoon

Tu Hi Dil Ki Aarzoo

(Arzoo Arzoo)

Dil Toh Mera Yeh Yeh Aksar Kare

Door Tujhse Na Ik Pal Rahoon

Teri Parchaiyee Bhi Hain Bohot Dilnashi

Tu Hasaa Toh Yeh Aalam Hasaa Hain

Jo Lafzon Me Tune Buna Hain

(Buna Hain Buna Hain)

Woh Haseen Pyaar Ka Silsila Hain

Jo Aankhon Me Teri Likha Hain

Woh Aankhon Se Maine Padha Hai

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain

Kahiin Tere Dil Ki Panaahon Me

Maine Paaya Mujhe Teri Chaahon Me

Jaise Loban Jalta Ho Har Pal Kahiin

Meri Khwaahish Me Yoon Tuu Jalaa Hain......

Tu Hi Mera...

(Tu Hi Mera...)

(Tu Hi Mera...)

(Tu Hi Mera...) (x2)

Tu Hi Mera... Saara Jahan Hain

Tu Hi Mere Rab Ki Tarha Hain (x2)",
65,Tera Deedar Hua,Pritam,"Yoon tera muskurana, aur aake chale jaana
Kismat ka hai khul jaana
Tera Deedar Hua,
pehla sa pyar hua
Pehli hi baar hua iss dil ko
Na to inkaar hua
Na hi iqraar hua
Jaane kya yaar hua iss dil ko
Tujhse mila toh jaagi duaayein
Aur nazar ne sajda kiya
Jannat zameen par aayi utar ke
Khushiyon ne jaise chun sa liya
Har manzar dilnasheen hai
Tu hi tu har kahin hai
Oh.. teri ye adayein toh hain qatilana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko
Tere bina tanha tha har pal
Hothon pe hardam thi tishnagi
Maqsad nahi tha, sapne nahi thay
Thi zindagi mein aawargi
Tu mera rehnuma hai
Manzil hai raasta hai
O mere liye tu toh jaise rab ka hai nazrana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko
Yun tera muskurana aur aake chale jaana
Yun tera muskurana aur aake chale jaana
Kismat ka hai khul jaana
Tera Deedar Hua, pehla sa pyar hua
Pehli hi baar hua iss dil ko
Naa toh inkaar hua
Naa hi iqraar hua
Jaane kya yaar hua iss dil ko",
66,Tu Hi Haqeeqat,Pritam|Javed Ali|Shadab,"Tu hi haqeeqat khwaab tu
Dariya tu hi pyaas tu
Tu hi dil ki bekarari
Tu sukoon tu sukoon

Jaoon main ab jab jiss jagah
Paoon main tujhko uss jagah
Saath hoke na ho tu hai
Rubaroo rubaroo


Tu humsafar tu humkadam tu humnawah mera

Tu humsafar tu humkadam tu humnawah mera


Aa tujhe inn baahon mein bhar ke
Aur bhi kar loon main kareeb
Tu juda ho toh lage hai
Aata jaata har pal ajeeb
Iss jahaan mein hai aur na hoga
Mujhsa koi bhi khush naseeb
Tune mujhko dil diya hai
Main hoon tere sabse kareeb


Main hi toh tere dil mein hoon
Main hi toh saanson mein basoon
Tere dil ki dhadkanon mein
Main hi hoon main hi hoon

Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Ohhooo…

Kab bhala ab ye waqt guzre
Kuch pata chalta hi nahi

Jabse mujhko tu mila hai
Hosh kuch bhi apna nahi
Uff ye teri palken ghani si
Chaanv inki hai dilnasheen
Ab kise dar dhoop ka hai
Kyunki hain ye mujhpe bicchi


Tere bina na saans loon
Tere bina na main jiyun
Tere bina na ek pal bhi
Reh sakoon reh sakoon

Tu hi haqeeqat khwaab tu
Dariya tu hi pyaas tu
Tu hi dil ki bekarari
Tu sukoon tu sukoon

Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera
Tu humsafar tu humkadam tu humnawah mera",
67,Dil Ibaadat,Pritam|KK|Sayeed Quadri,,
68,Haan Tu Hain,Pritam|KK|Sayeed Quadri,"jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya
haan jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai
irado me tu hai
koi bhi aisa lamha nahi hai
jisme mere tu hota nahi hai
mai so bhi jau rato me lekin
tu hai ki mujhme sota nahi hai
tu hai ki mujhme sota nahi hai


haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai

hai teri inayat tujhse mili hai
hotho pe mere hasi jo khili hai
use mera chehra chupa bhi na paye
tujhe pake hasil hui jo khushi hai
tujhe pake hasil hui jo khushi


haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

jo khwabo khyalo me socha nahi tha
tune mujhe itna pyar diya
mai jab bhi jaha bhi kadi dhup me tha
teri julf ne mujhpe saya kiya

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai

haan tu hai haan tu hai
meri bato me tu hai
mere khwabo me tu yado me tu
irado me tu hai
irado me tu hai",
69,Maahi,Toshi & Sharib Sabri | Mohit Suri,"Yaara teri kahani mein

Ho zikar mera

Kahin teri khamoshi mein

Ho fikar mera

Rukh tera jidhar ka ho

Ho udhar mera

Teri baahon talak hi hai

Yeh safar mera

O maahi oh maahi oh maahi oh maahi

O maahi oh maahi oh maahi oh maahi
Meri wafa pe haq hua tera

Oh maahi maahi ve

O maahi oh maahi oh maahi oh maahi

O maahi oh maahi oh maahi oh maahi

Lo main qayamat tak hua tera

Lo main qayamat tak hua tera

Baaton ko behne do

Baahon mein rehne do

Hai sukoon inme

Raste woh begaane

Jhoothe woh afsaane

Tu na ho jinme

Ho thodi umar hai pyar jyada mera

Kaise pata yeh sara tera hoga

Maine mujhe hai tujhko saunpana

Aanhon pe baahon pe raahon panahon pe

Aanhon pe baahon pe saahon salaahon pe

Mere ishq pe haq hua tera

O maahi maahi ve

Oh maahi oh maahi oh maahi oh maahi

Oh maahi oh maahi oh maahi oh maahi

Lo main qayamat tak hua tera

Oh maahi maahi ve

O maahi o maahi o maahi o maahi

O maahi o maahi o maahi o maahi

Meri wafa pe haq hua tera

Lo main kayamat tak hua tera",
70,Tera Mera Rishta Purana,Mustafa Zahid,"Tera yakin kyon maine kiya

Nahi tujhse raah kyon juda

Mujh pe yeh zindagi karti

Rahi sitam tune hi di hai

panah

Tera mera rishta puraana

Tera mera rishta puraana

Tera mera rishta puraana

Hai kya tadap hai hai yeh

kaisi saza
Tu kyun mujhe aaj yaad aa gaya

Bechain din mere bechain

raat hai

Kya main karu kuchh bata

Yeh mere paanv hi khud

meri bediyaan

Uss se tu mujhe chhooda

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Kya mujh mein hai

Shaks woh keh raha

Aa aab main du karz tera

chuka

Aankhen hai nam meri

Saasein chubhan meri

Zakham huwa pir

Haara dil ke viraane mein

Mere phasane mein

Tu hi toh har dum raha

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Tera mera rishta purana

Oh tera mera rishta purana

Oh tera mera rishta purana",
71,Aadat (Juda Hoke Bhi),Atif Aslam | Kunal Khemu | Kalyug | Sayeed Q,"Juda Hoke Bhi Tu Mujhmein Kahi Baaki Hai

Palkon Mein Banke Aansu Tu Chali Aati Hai

Saath Mere Hain Tu Har Pal Shab Ke Andhere Mein

Paas Mere Hain Tu Hardam Ujale Savere Mein

Dil Se Dhadkan Bhula Dena Aasan Nahi Hai

Ab Toh Aadat Si Hai Mujhko Aaise Jeene Mein

Juda Hoke Bhi Tu Mujhmein Kahi Baaki Hai

Palkon Mein Banke Aansu Tu Chali Aati Hai

Ae he he he he.......oh o o o o

aa aa aa aa.....oh ho o o o o

Yeh Jo Yaade Hain, Yeh Jo Yaade Hain

Sabhi Kaate Hain, Kata Do Inhe

Mita Do Inhe....

Ho Ab Toh Aadat Si Hai Mujhko

Aise Jeene Mein",
72,Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan | Emraan Hashmi | Kunal Khemu | Smilie S,Tujhe Dekh Dekh Sona... (x2) Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Bitaani Tujhmein Basi Hain Meri Jaan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Tujhe Dekh Dekh Sona Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Bitaani Tujhmein Basi Hain Meri Jaan Haai Jiya Dhadak Dhadak... (x3) Jaayen Kabse Hai Dil Mein Mere Armaan Kai Ankahe... (x2) Inko Tu Sunle Aaja Chaahat Ke Rang Chadha Jaa... (x2) Kehna Kabhi To Mera Maan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Lagta Hain Yeh Kyu Mujhe Sadiyon Se Chaahu Tujhe... (x2) Mere Sapno Mein Aake Apna Mujhko Banake... (x2) Mujhpe Tu Kar Ehsaan Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Tujhe Dekh Dekh Sona Tujhe Dekh Kar Hain Jagna Maine Yeh Zindagani Sang Tere Hain Bitani Haai (Jiya Dhadak Dhadak... (x3) Jaayen)... (x2) Dhadak Jaaye Jiya Dhadak Jaaye Jaaye Jiya Dhadak Dhadak Jiya Dhadak Dhadak Dhadak Dhadak Dhadak Jaaye (Jiya Dhadak Dhadak... (x3) Jaaye)... (x4) ',
73,Afreen Afreen,Rahat Fateh Ali Khan & Momina Mustehsan,"Sa Ni Dha Ga Ni Ni Ni Dha

Dha Ni Sa Ga Ma Ga Sa

Sa Ni Dha Ga Ni Ni Ni Dha

Dha Ni Dha Ga Ma Ma

Sa Ga Ma Ga Dha Dha Ma Dha Ni

Dha Ni Dha Ni Dha Ni Dha

Ni Dha Pa, Pa Dha Ma

Ma Pa Ga

Ga Re Ga Ma Ga

Pa Ma Ga Re

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Husn-E-Janaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreeeen Afreeen

Tu Bhee Dekhe Agar To Kahe Hamnsheeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Afreen Afreen Afreeeen

Aisaa Dekhaa Nahi Khubsoorat Koi

Jism Jaise Hai Ajanta Kee Moorat Koi

Jism Jaise Nigahon Pe Jaadu Koi

Jism Naghma Koi Jism Khushboo Koi

Jism Jaise Machalte Hoye Ragnee

Jism Jaise Mehaktee Hoayee Chandni

Jism Jaise Ke Khilta Hoyaa Ek Chaman

Jism Jaise Ke Sooraj Ki Pehli Kiran

Jism Tersha Hoya Dikashoo Dilnasheen

Sandaleeeen Sandaleen Marmareeeeen Marmareeeeen

Sandaleeeen Sandaleen Marmareeeeen Marmareeeeen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Husne Janaaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreen Afreen

Tu Bhee Dekhe Agar To Kahe Hamnsheeen

Afreen Afreen Afreen Afreen

Usne Janaaa Kee Tareef Mumkin Nahi

Usne Janaaa Kee Tareef Mumkin Nahi

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Ankheen Dekheen To Main Dekhtaa Rah Giyaa

Jaam Dooo Ore Doonoon Hee Doo Ateshaaaa

Ankheen Yaa Makadeee Kaee Doo Baab Hain

Ankheen Inn Ko Kahoon Yaa Kahoon Khawab Hain

Ankheen Neechee Hoyee To Haya Baan Gayeen

Ankheen Oonchee Hoyee To Dua Baan Gayeen

Ankheen Uth Kar Jhukeen Too Ada Baan Gayeen

Ankheen Jhuk Kar Utheen To Qadaa Baan Gayeen

Ankheen Jin Main Hain Kaid Asmaan O Zameeeeen

Nargasee Nargaseee Surmayee Surmayeee

Nargasee Nargaseee Surmayee Surmayeee

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen

Afreen Afreen Afreen Afreen",
74,Teri Deewani,Kailash Kher,"Ho Main Vi Teri Deewani Aa

Ve Sun Dhol Sipahiyaa

Tu Ess College Vich Padhda Ae

Taahi Taan Main Aayi Aan

Tohr Kyun Enni Kad Ke Aaye

Tohr Kyun Enni Kad Ke Aaye

Ki Milda Suli Tangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi
Je Tu Aap Aavega Mangan Layi

Kado Tak Bhejda Rahenga

Tu Sanehe Mainu Chori Chori

Kade Jere Naal Rok Mainu

Puch Mera Haal Puch Mallo Jori

Oh Kado Tak Bhejda Rahenga

Tu Sanehe Mainu Chori Chori

Kade Jere Naal Rok Mainu

Puch Mera Haal Puch Mallo Jori

Mera Vekh Le Ishaara

Main Ta Kari Baithi Haan

Vekh Le Ishaara

Main Ta Kri Baithi Haan

Ki Lod Payi Aa Sangan Di

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Mundeya Ch Charche Daleri Teri De

Mere Kolo Kyun Renne Darda

Kar Purpose Mainu Apni Bna Le Jatta

Dasde Tu Kinna Mette Marda

Mundeya Ch Charche Daleri Tere De

Mere Kolo Kyun Renne Darda

Kar Purpose Mainu Apni Bna Le Jatta

Dasde Tu Kinna Mette Marda

Shere Dhaliwal Fayda Ki Ae Jatt Hon Da

Dhaliwal Fayda Ki Ae Jatt Hon Da

Je Tainu Lod Pendi Jhutha Khangan Di

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi

Main Tainu Dil Vi Has Ke De Dangi

Je Tu Aap Aavega Mangan Layi",
75,Saiyyan,Kailash Kher,"Heere-moti main na chaahun
Main toh chaahun sangam tera
Main toh teri, saiyyan
Tu hai mera, saiyyan, saiyyan
Tu jo chchoo le pyar se, aaram se mar jaaun
Aaja chanda bahon mein
Tujh mein hi gum ho jaaun main
Tere naam mein kho jaaun
Saiyyan, saiyyan
Mere dil khushi se jhoome, gaayein raatein
Pal-pal mujhe dubaayein jaate-jaate
Tujhe jeet, jeet haarun, yeh praan, praan varun
Haye, aise main nihaarun, teri aarti utaarun
Tere naam se jude hai saare naate
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Banke maala prem ki tere tan pe jhar-jhar jaaun
Baithun naiyaa preet ki
Sansaar se tar jaaun main
Tere pyaar se tar jaaun
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Yeh naram-naram nasha hai badhta jaaye
Koi pyar se ghungatiya deta uthaaye
Ab baanwra huaa mann, jag ho gya hai roshan
Yeh nayi-nayi suhaagan ho gyi hai teri jogan
Koi prem ki pujaran mandir sajaye
Saiyyan (Saiyyan), saiyyan (Saiyyan)
Saiyyan, saiyyan (Saiyyan)
Heere moti main na chaahun
Main toh chaahun sangam tera
(Saiyyan) Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
(Saiyyan) Main na jaanu, tu hi jaane
Main toh teri, tu hai mera
Main toh teri, tu hai mera",
76,O Re Piya,"Rahat Fateh Ali Khan | Salim-Sulaiman, Jaideep","O re piya haye (x3)

Udne laga kyon man baawla re

Aaya kahan se yeh hosla re

O re piya haye (x2)

Tanabana tanabana bunti hawaa haaye bunti hawa

Boondein bhi to aaye nahi baaz yahan

Sagish mein shaamil sara jahan hai

Har zare zare ki yeh iltiza hai

O re Piya

O re Piya haye (x2)

O re Piya

ni re ,re re ga

ga ga ma

ma ma pa

pa ma ga re sa

sa re re sa

ga ga re

ma ma ga

pa pa ma

dha dha pa

ni ni sa sa pa

pa sa ma pa dha ni sa ni

re ni sa sa sa.. . . . ..

Nazrein bolen duniya bole

dil ki zaban haaye dil ki zubaan

Ishq maange ishq chahe koi toofan

Chalna aahiste ishq naya hai

Pehla yeh vada humne kiya hai

O re piya haaye (x2)

O re piya

Piyaaaaa....

yehhh piya

Nange pairo pe angaro

chalti rahi haaye chalti rahi

.l.y.r.i.c.s.m.a.s.t.i...c.o.m..

Lagta hai ke gairo mein

Palti rahi haaye

le chal wahan jo

Mulk tera hai

Jahil zamana

dushman mera hai

haaye

O re piya haye (x5)",
